         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0  -2.17524e+01   0.00000e+00   9.99999e-04   9.12318e-03   1.09733e-01  -2.89034e+00  -6.80083e-02  -1.39480e+00  -2.00000e+01  -3.14383e-01  -7.93044e-02   3.24231e-01   2.52254e-01  -2.99054e+00  -7.54378e-01   3.08422e+00  -1.26217e+01  -5.00356e+01   5.16030e+01
             1  -2.07647e+01   1.16547e+03   1.77000e-03   2.96855e-02   6.40276e-02  -1.92222e+00  -6.14928e-02  -1.75885e+00  -2.00000e+01  -6.31292e-01  -1.69318e+00   1.80703e+00   2.68208e+00  -1.93329e-01  -5.18524e-01   5.53393e-01  -1.52247e+02  -5.67646e+01   1.62485e+02
             2  -2.19540e+01   1.82643e+03   3.16000e-03   2.29206e-02   2.53520e-02  -2.79133e-01  -5.38313e-02  -1.99217e+00  -2.00000e+01   3.41009e+00  -9.88902e-01   3.55059e+00  -2.89993e-01   2.70499e-01  -7.84428e-02   2.81644e-01  -4.98066e+01   1.71751e+02   1.78827e+02
             3  -2.05973e+01   2.20096e+03   5.61999e-03   2.18621e-02   1.07721e-02   5.16160e-01  -5.37807e-02  -1.98619e+00  -2.00000e+01   6.95127e+00   4.00684e+00   8.02340e+00   5.76419e-01   1.07981e-01   6.22423e-02   1.24635e-01   1.13471e+02   1.96856e+02   2.27218e+02
             4  -2.00359e+01   2.41433e+03   9.99998e-03   2.01660e-02   7.08649e-03   1.46004e+00  -5.46224e-02  -1.95939e+00  -2.00000e+01   1.00368e+00   1.10824e+01   1.11277e+01   1.10417e+01   8.10555e-03   8.94993e-02   8.98656e-02   1.76382e+02   1.59741e+01   1.77104e+02
             5  -2.02583e+01   2.53642e+03   1.77800e-02   8.00795e-03   1.94759e-03   1.32542e+00  -5.42777e-02  -1.98141e+00  -2.00000e+01   3.46386e+00   1.57807e+01   1.61563e+01   4.55580e+00   1.32701e-02   6.04559e-02   6.18952e-02   1.41258e+02   3.10063e+01   1.44621e+02
             6  -2.06355e+01   2.60666e+03   3.16200e-02   1.27557e-02   1.97964e-03   9.97349e-01  -5.43026e-02  -1.98035e+00  -2.00000e+01   1.30967e+01   2.22117e+01   2.57853e+01   1.69598e+00   1.96977e-02   3.34070e-02   3.87818e-02   1.11800e+02   6.59203e+01   1.29787e+02
             7  -2.09146e+01   2.64811e+03   5.62299e-02   1.43911e-02   1.58435e-03   5.79731e-01  -5.49926e-02  -1.95680e+00  -2.00000e+01   3.05673e+01   2.17472e+01   3.75140e+01   7.11454e-01   2.17205e-02   1.54532e-02   2.66567e-02   6.15540e+01   8.65186e+01   1.06181e+02
             8  -2.14839e+01   2.72565e+03   9.99999e-02   4.99785e+00   4.25726e-01   2.64809e-01  -5.62804e-02  -1.91185e+00  -2.00000e+01   4.78807e+01   1.42557e+01   4.99579e+01   2.97733e-01   1.91846e-02   5.71190e-03   2.00169e-02   2.26887e+01   7.62047e+01   7.95106e+01
