         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   3.99712e+01   0.00000e+00   9.99999e-04   3.04662e-02   4.97581e-02   5.65108e-01  -3.02001e-02   7.00391e+00   4.00000e+01   2.02754e+00   1.28111e+00   2.39837e+00   6.31856e-01   3.52483e-01   2.22718e-01   4.16950e-01   2.03896e+02   3.22694e+02   3.81713e+02
             1   3.99962e+01   1.16541e+03   1.77000e-03   2.42067e-02   3.62433e-02   3.07014e-01  -3.06114e-02   7.03470e+00   4.00000e+01   2.49666e+00   7.89396e-01   2.61848e+00   3.16181e-01   3.64133e-01   1.15132e-01   3.81900e-01   7.09811e+01   2.24495e+02   2.35449e+02
             2   3.99779e+01   1.82635e+03   3.16000e-03   1.88447e-02   3.25284e-02   1.56167e-01  -3.04637e-02   7.03316e+00   4.00000e+01   2.24278e+00   3.51729e-01   2.27019e+00   1.56827e-01   4.35172e-01   6.82469e-02   4.40491e-01   1.77150e+01   1.12959e+02   1.14340e+02
             3   4.00136e+01   2.20087e+03   5.61999e-03   1.83832e-02   3.21782e-02   9.25811e-02  -3.05931e-02   7.03433e+00   4.00000e+01   2.22911e+00   2.06232e-01   2.23863e+00   9.25176e-02   4.44802e-01   4.11520e-02   4.46701e-01   5.84038e+00   6.31272e+01   6.33968e+01
             4   3.99777e+01   2.41421e+03   9.99998e-03   1.90323e-02   3.32109e-02   9.67941e-02  -3.07450e-02   7.03597e+00   4.00000e+01   2.23512e+00   2.17035e-01   2.24563e+00   9.71022e-02   4.43225e-01   4.30381e-02   4.45309e-01   3.45422e+00   3.55731e+01   3.57404e+01
             5   3.99642e+01   2.53630e+03   1.77800e-02   1.77962e-02   3.16547e-02   5.10592e-02  -3.08204e-02   7.03666e+00   4.00000e+01   2.20000e+00   1.12386e-01   2.20287e+00   5.10846e-02   4.53362e-01   2.31598e-02   4.53953e-01   1.00601e+00   1.96930e+01   1.97187e+01
             6   3.99681e+01   2.60664e+03   3.16200e-02   1.74244e-02   3.07708e-02   7.58555e-02  -3.08495e-02   7.03379e+00   4.00000e+01   2.21245e+00   1.68552e-01   2.21886e+00   7.61835e-02   4.49379e-01   3.42353e-02   4.50681e-01   8.48386e-01   1.11361e+01   1.11684e+01
             7   3.99700e+01   2.64819e+03   5.62299e-02   1.75848e-02   3.03851e-02   9.61089e-02  -3.08528e-02   7.02958e+00   4.00000e+01   2.25737e+00   2.18360e-01   2.26790e+00   9.67320e-02   4.38887e-01   4.24544e-02   4.40936e-01   6.18052e-01   6.38933e+00   6.41915e+00
             8   3.99886e+01   2.73322e+03   9.99999e-02   1.78163e+00   2.98194e+00   1.07339e-01  -3.08941e-02   7.02741e+00   4.00000e+01   2.32808e+00   2.51812e-01   2.34166e+00   1.08163e-01   4.24572e-01   4.59230e-02   4.27048e-01   4.00772e-01   3.70526e+00   3.72687e+00
             9   4.00016e+01   2.78519e+03   1.77820e-01   1.85395e+00   2.98610e+00   1.18948e-01  -3.09371e-02   7.02527e+00   4.00000e+01   2.41638e+00   2.89945e-01   2.43371e+00   1.19992e-01   4.07969e-01   4.89528e-02   4.10895e-01   2.59511e-01   2.16274e+00   2.17826e+00
            10   4.00030e+01   2.79815e+03   3.16220e-01   1.95723e+00   3.01283e+00   1.32065e-01  -3.09335e-02   7.02215e+00   4.00000e+01   2.52466e+00   3.36737e-01   2.54702e+00   1.33379e-01   3.89170e-01   5.19071e-02   3.92616e-01   1.69481e-01   1.27067e+00   1.28193e+00
            11   4.00056e+01   2.81011e+03   5.62339e-01   2.03329e+00   2.97180e+00   1.46688e-01  -3.08881e-02   7.01896e+00   4.00000e+01   2.65414e+00   3.93711e-01   2.68318e+00   1.48338e-01   3.68658e-01   5.46861e-02   3.72692e-01   1.11429e-01   7.51183e-01   7.59402e-01
            12   4.00092e+01   2.81888e+03   9.99999e-01   2.18604e+00   3.01543e+00   1.63944e-01  -3.08182e-02   7.01553e+00   4.00000e+01   2.80541e+00   4.65806e-01   2.84382e+00   1.66038e-01   3.46890e-01   5.75971e-02   3.51639e-01   7.41355e-02   4.46496e-01   4.52609e-01
            13   4.00099e+01   2.82911e+03   1.77828e+00   2.29620e+00   2.96759e+00   1.85251e-01  -3.07423e-02   7.01232e+00   4.00000e+01   2.98404e+00   5.60935e-01   3.03630e+00   1.87979e-01   3.23679e-01   6.08447e-02   3.29348e-01   5.02034e-02   2.67070e-01   2.71747e-01
            14   4.00098e+01   2.83761e+03   3.16228e+00   2.47075e+00   2.96331e+00   2.10120e-01  -3.06812e-02   7.01036e+00   4.00000e+01   3.20088e+00   6.84012e-01   3.27315e+00   2.13695e-01   2.98771e-01   6.38458e-02   3.05516e-01   3.44258e-02   1.61098e-01   1.64735e-01
            15   4.00128e+01   2.84554e+03   5.62341e+00   2.68084e+00   2.95180e+00   2.38717e-01  -3.06328e-02   7.00958e+00   4.00000e+01   3.46588e+00   8.43555e-01   3.56706e+00   2.43388e-01   2.72391e-01   6.62968e-02   2.80343e-01   2.38745e-02   9.80921e-02   1.00956e-01
            16   4.00135e+01   2.85318e+03   1.00000e+01   2.94186e+00   2.94014e+00   2.71004e-01  -3.05887e-02   7.00904e+00   4.00000e+01   3.78949e+00   1.04964e+00   3.93217e+00   2.76987e-01   2.45084e-01   6.78853e-02   2.54312e-01   1.67056e-02   6.03117e-02   6.25825e-02
            17   4.00127e+01   2.86060e+03   1.77828e+01   3.27848e+00   2.93452e+00   3.08308e-01  -3.05447e-02   7.00815e+00   4.00000e+01   4.18951e+00   1.32302e+00   4.39345e+00   3.15794e-01   2.17046e-01   6.85419e-02   2.27612e-01   1.18410e-02   3.74959e-02   3.93211e-02
            18   4.00155e+01   2.86789e+03   3.16228e+01   3.72124e+00   2.91203e+00   3.53799e-01  -3.05073e-02   7.00803e+00   4.00000e+01   4.72719e+00   1.71642e+00   5.02916e+00   3.63096e-01   1.86901e-01   6.78631e-02   1.98840e-01   8.63863e-03   2.37916e-02   2.53114e-02
            19   4.00153e+01   2.87515e+03   5.62341e+01   4.22821e+00   2.90835e+00   3.99696e-01  -3.04753e-02   7.00858e+00   4.00000e+01   5.29730e+00   2.16665e+00   5.72327e+00   4.09010e-01   1.61721e-01   6.61455e-02   1.74725e-01   6.13209e-03   1.49925e-02   1.61981e-02
            20   4.00165e+01   2.88254e+03   1.00000e+02   4.88729e+00   2.92948e+00   4.50120e-01  -3.04420e-02   7.00876e+00   4.00000e+01   5.96923e+00   2.72065e+00   6.56000e+00   4.55779e-01   1.38711e-01   6.32215e-02   1.52439e-01   4.33005e-03   9.50033e-03   1.04406e-02
