         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0  -5.91320e-01   0.00000e+00   9.99999e-02   2.99789e+00   2.21212e+00   1.59665e-02   5.87857e+00   2.85796e+01   0.00000e+00   2.93911e+03   5.45177e+01   2.93962e+03   1.85491e-02   3.40122e-04   6.30894e-06   3.40180e-04   8.67678e+01   4.67775e+03   4.67855e+03
             1  -8.79091e-01   7.55312e+01   1.12200e-01   2.99679e+00   2.20756e+00   1.57344e-02   5.88491e+00   2.78492e+01   0.00000e+00   2.94495e+03   5.38480e+01   2.94544e+03   1.82849e-02   3.39451e-04   6.20683e-06   3.39508e-04   7.63832e+01   4.17739e+03   4.17809e+03
             2  -9.95886e-01   9.80692e+01   1.25890e-01   2.99797e+00   2.20572e+00   1.56980e-02   5.88765e+00   2.74044e+01   0.00000e+00   2.94916e+03   5.38123e+01   2.94965e+03   1.82466e-02   3.38967e-04   6.18500e-06   3.39023e-04   6.80317e+01   3.72845e+03   3.72907e+03
             3  -1.12019e+00   1.20054e+02   1.41250e-01   2.99950e+00   2.20442e+00   1.55245e-02   5.88935e+00   2.70837e+01   0.00000e+00   2.95297e+03   5.32919e+01   2.95345e+03   1.80469e-02   3.38532e-04   6.10946e-06   3.38587e-04   6.00473e+01   3.32729e+03   3.32783e+03
             4  -1.23470e+00   1.39655e+02   1.58480e-01   3.00025e+00   2.20211e+00   1.56661e-02   5.89085e+00   2.68025e+01   0.00000e+00   2.95744e+03   5.38690e+01   2.95793e+03   1.82147e-02   3.38018e-04   6.15691e-06   3.38074e-04   5.40985e+01   2.97004e+03   2.97053e+03
             5  -1.34016e+00   1.57120e+02   1.77820e-01   2.99988e+00   2.19914e+00   1.57673e-02   5.89258e+00   2.65056e+01   0.00000e+00   2.96166e+03   5.42995e+01   2.96216e+03   1.83341e-02   3.37535e-04   6.18841e-06   3.37592e-04   4.85999e+01   2.65079e+03   2.65124e+03
             6  -1.43623e+00   1.72973e+02   1.99520e-01   3.00020e+00   2.19698e+00   1.57324e-02   5.89387e+00   2.62539e+01   0.00000e+00   2.96544e+03   5.42472e+01   2.96594e+03   1.82931e-02   3.37105e-04   6.16671e-06   3.37162e-04   4.32725e+01   2.36550e+03   2.36590e+03
             7  -1.53925e+00   1.89536e+02   2.23870e-01   2.99974e+00   2.19421e+00   1.58084e-02   5.89488e+00   2.60407e+01   0.00000e+00   2.96927e+03   5.45774e+01   2.96978e+03   1.83807e-02   3.36669e-04   6.18822e-06   3.36726e-04   3.88005e+01   2.11094e+03   2.11129e+03
             8  -1.61818e+00   2.02364e+02   2.51180e-01   2.99974e+00   2.19175e+00   1.58971e-02   5.89599e+00   2.58463e+01   0.00000e+00   2.97316e+03   5.49502e+01   2.97367e+03   1.84821e-02   3.36228e-04   6.21419e-06   3.36285e-04   3.48181e+01   1.88388e+03   1.88421e+03
             9  -1.70656e+00   2.16124e+02   2.81830e-01   2.99831e+00   2.18816e+00   1.60922e-02   5.89745e+00   2.56657e+01   0.00000e+00   2.97718e+03   5.56933e+01   2.97770e+03   1.87067e-02   3.35770e-04   6.28116e-06   3.35829e-04   3.14512e+01   1.68128e+03   1.68157e+03
            10  -1.77193e+00   2.26437e+02   3.16220e-01   2.99888e+00   2.18600e+00   1.63372e-02   5.89907e+00   2.54935e+01   0.00000e+00   2.98127e+03   5.66101e+01   2.98181e+03   1.89886e-02   3.35307e-04   6.36700e-06   3.35367e-04   2.84921e+01   1.50049e+03   1.50076e+03
            11  -1.85663e+00   2.40070e+02   3.54809e-01   3.00388e+00   2.18702e+00   1.64353e-02   5.90068e+00   2.53270e+01   0.00000e+00   2.98545e+03   5.70141e+01   2.98599e+03   1.90974e-02   3.34836e-04   6.39449e-06   3.34897e-04   2.55745e+01   1.33916e+03   1.33941e+03
            12  -1.93007e+00   2.50972e+02   3.98099e-01   2.99733e+00   2.17960e+00   1.65612e-02   5.90228e+00   2.51642e+01   0.00000e+00   2.98969e+03   5.75131e+01   2.99024e+03   1.92372e-02   3.34359e-04   6.43212e-06   3.34421e-04   2.29930e+01   1.19524e+03   1.19546e+03
            13  -2.00901e+00   2.63076e+02   4.46679e-01   2.99985e+00   2.17875e+00   1.66745e-02   5.90388e+00   2.50026e+01   0.00000e+00   2.99398e+03   5.79651e+01   2.99454e+03   1.93606e-02   3.33879e-04   6.46409e-06   3.33942e-04   2.06534e+01   1.06677e+03   1.06697e+03
            14  -2.10940e+00   2.77699e+02   5.01179e-01   3.00068e+00   2.17665e+00   1.68934e-02   5.90549e+00   2.48418e+01   0.00000e+00   2.99831e+03   5.87847e+01   2.99889e+03   1.96059e-02   3.33393e-04   6.53647e-06   3.33457e-04   1.86677e+01   9.52147e+02   9.52330e+02
            15  -2.20771e+00   2.93003e+02   5.62339e-01   3.00139e+00   2.17438e+00   1.70826e-02   5.90710e+00   2.46829e+01   0.00000e+00   3.00280e+03   5.94992e+01   3.00339e+03   1.98146e-02   3.32892e-04   6.59610e-06   3.32957e-04   1.68396e+01   8.49862e+02   8.50029e+02
            16  -2.30102e+00   3.06942e+02   6.30949e-01   3.00125e+00   2.17143e+00   1.73097e-02   5.90869e+00   2.45271e+01   0.00000e+00   3.00737e+03   6.03442e+01   3.00798e+03   2.00654e-02   3.32382e-04   6.66939e-06   3.32449e-04   1.52216e+01   7.58601e+02   7.58754e+02
