         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   2.83505e+01   0.00000e+00   9.99999e-02   2.87041e+00   2.29887e+00   1.30977e-02   5.61880e+00   5.70489e+01   3.00000e+01   2.67314e+03   4.01120e+01   2.67344e+03   1.50056e-02   3.74008e-04   5.61219e-06   3.74050e-04   6.38403e+01   4.25444e+03   4.25492e+03
             1   2.81901e+01   7.34170e+01   1.12200e-01   2.88390e+00   2.30681e+00   1.30917e-02   5.62383e+00   5.66406e+01   3.00000e+01   2.67695e+03   4.01621e+01   2.67725e+03   1.50029e-02   3.73475e-04   5.60322e-06   3.73517e-04   5.69698e+01   3.79724e+03   3.79767e+03
             2   2.81308e+01   9.59229e+01   1.25890e-01   2.88563e+00   2.30554e+00   1.30397e-02   5.62566e+00   5.64098e+01   3.00000e+01   2.68051e+03   4.00634e+01   2.68081e+03   1.49462e-02   3.72980e-04   5.57464e-06   3.73022e-04   5.06498e+01   3.38880e+03   3.38918e+03
             3   2.80720e+01   1.17896e+02   1.41250e-01   2.87698e+00   2.29619e+00   1.30626e-02   5.62661e+00   5.62555e+01   3.00000e+01   2.68379e+03   4.01883e+01   2.68409e+03   1.49745e-02   3.72524e-04   5.57835e-06   3.72566e-04   4.52827e+01   3.02399e+03   3.02433e+03
             4   2.80197e+01   1.37487e+02   1.58480e-01   2.88545e+00   2.30077e+00   1.29547e-02   5.62742e+00   5.61245e+01   3.00000e+01   2.68672e+03   3.99001e+01   2.68702e+03   1.48508e-02   3.72119e-04   5.52628e-06   3.72160e-04   4.00700e+01   2.69817e+03   2.69846e+03
             5   2.79740e+01   1.54942e+02   1.77820e-01   2.88662e+00   2.29917e+00   1.29321e-02   5.62845e+00   5.59815e+01   3.00000e+01   2.69013e+03   3.98808e+01   2.69043e+03   1.48248e-02   3.71647e-04   5.50961e-06   3.71688e-04   3.56947e+01   2.40776e+03   2.40803e+03
             6   2.79285e+01   1.70784e+02   1.99520e-01   2.89241e+00   2.30163e+00   1.28399e-02   5.62911e+00   5.58650e+01   3.00000e+01   2.69304e+03   3.96337e+01   2.69333e+03   1.47171e-02   3.71248e-04   5.46368e-06   3.71288e-04   3.16154e+01   2.14821e+03   2.14844e+03
             7   2.78923e+01   1.85137e+02   2.23870e-01   2.89205e+00   2.29938e+00   1.27615e-02   5.62955e+00   5.57704e+01   3.00000e+01   2.69569e+03   3.94219e+01   2.69598e+03   1.46241e-02   3.70883e-04   5.42382e-06   3.70923e-04   2.80261e+01   1.91644e+03   1.91664e+03
             8   2.78551e+01   1.98019e+02   2.51180e-01   2.89169e+00   2.29687e+00   1.26583e-02   5.62997e+00   5.56855e+01   3.00000e+01   2.69871e+03   3.91355e+01   2.69899e+03   1.45016e-02   3.70470e-04   5.37240e-06   3.70509e-04   2.47974e+01   1.70998e+03   1.71016e+03
             9   2.78213e+01   2.09570e+02   2.81830e-01   2.90122e+00   2.30228e+00   1.26121e-02   5.63038e+00   5.56073e+01   3.00000e+01   2.70163e+03   3.90209e+01   2.70191e+03   1.44435e-02   3.70070e-04   5.34509e-06   3.70108e-04   2.20359e+01   1.52567e+03   1.52582e+03
