         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0  -7.32803e+01   0.00000e+00   9.99999e-04   4.31849e-02   4.03773e-01  -3.07846e+00  -7.75852e-02  -1.19772e+01  -8.00000e+01  -4.16293e-01  -2.46255e-02   4.17021e-01   5.91543e-02  -2.39378e+00  -1.41602e-01   2.39796e+00  -3.91928e+00  -6.62552e+01   6.63710e+01
             1  -7.56664e+01   1.16546e+03   1.77000e-03   5.14701e-02   1.91510e-01  -1.17426e+00  -8.83491e-02  -1.23698e+01  -8.00000e+01   4.01400e-01  -9.69738e-01   1.04953e+00  -2.41589e+00   3.64407e-01  -8.80369e-01   9.52807e-01  -8.71971e+01   3.60931e+01   9.43718e+01
             2  -7.76285e+01   1.82642e+03   3.16000e-03   1.29386e-02   1.92358e-02   6.38496e-01  -9.43651e-02  -1.24982e+01  -8.00000e+01   2.11336e+00   1.57410e+00   2.63516e+00   7.44830e-01   3.04340e-01   2.26682e-01   3.79483e-01   7.92803e+01   1.06441e+02   1.32721e+02
             3  -7.79549e+01   2.20095e+03   5.61999e-03   9.64408e-03   1.01384e-02   7.21739e-01  -9.49834e-02  -1.25889e+01  -8.00000e+01   2.79134e+00   2.47632e+00   3.73145e+00   8.87145e-01   2.00473e-01   1.77849e-01   2.67992e-01   7.01280e+01   7.90490e+01   1.05673e+02
             4  -7.70973e+01   2.41429e+03   9.99998e-03   2.00726e-02   1.28393e-02  -6.09406e-01  -9.76424e-02  -1.25776e+01  -8.00000e+01   5.02483e+00  -3.56044e+00   6.15838e+00  -7.08569e-01   1.32492e-01  -9.38795e-02   1.62380e-01  -5.66662e+01   7.99727e+01   9.80138e+01
             5  -7.58164e+01   2.53639e+03   1.77800e-02   2.14163e-02   8.81667e-03  -1.51188e+00  -1.00525e-01  -1.26104e+01  -8.00000e+01   3.87303e-01  -9.47911e+00   9.48702e+00  -2.44746e+01   4.30320e-03  -1.05319e-01   1.05407e-01  -8.48509e+01   3.46689e+00   8.49217e+01
             6  -7.54022e+01   2.60666e+03   3.16200e-02   1.24378e-02   3.91837e-03  -5.08259e-01  -1.02564e-01  -1.26067e+01  -8.00000e+01   1.09721e+01  -6.28206e+00   1.26432e+01  -5.72550e-01   6.86395e-02  -3.92996e-02   7.90939e-02  -3.16199e+01   5.52265e+01   6.36379e+01
             7  -7.56358e+01   2.64811e+03   5.62299e-02   1.88072e-02   5.43041e-03   7.35852e-01  -1.04121e-01  -1.25567e+01  -8.00000e+01   1.00471e+01   9.41976e+00   1.37723e+01   9.37560e-01   5.29698e-02   4.96624e-02   7.26096e-02   2.66620e+01   2.84376e+01   3.89815e+01
             8  -7.67882e+01   2.72564e+03   9.99999e-02   4.99611e+00   4.91637e-01   1.34064e-01  -1.07195e-01  -1.24548e+01  -8.00000e+01   4.23752e+01   6.17818e+00   4.28232e+01   1.45797e-01   2.31075e-02   3.36901e-03   2.33518e-02   9.83290e+00   6.74423e+01   6.81553e+01
