         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            G'            G"            G*     tan_delta            J'            J"            J*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   1.92682e+01   0.00000e+00   9.99999e-04   1.98336e-02   1.14227e-02   5.49971e-01  -3.55758e-02   5.12129e+00   2.00000e+01   5.83018e+00   3.59600e+00   6.84998e+00   6.16790e-01   1.24252e-01   7.66375e-02   1.45986e-01   5.72322e+02   9.27903e+02   1.09021e+03
             1   1.94317e+01   1.16541e+03   1.77000e-03   2.10717e-02   1.97226e-02   2.89088e-01  -3.60190e-02   5.20691e+00   2.00000e+01   4.02643e+00   1.19745e+00   4.20072e+00   2.97397e-01   2.28178e-01   6.78594e-02   2.38054e-01   1.07673e+02   3.62050e+02   3.77721e+02
             2   1.95017e+01   1.82635e+03   3.16000e-03   1.95687e-02   2.28990e-02   1.15416e-01  -3.89082e-02   5.24874e+00   2.00000e+01   3.33347e+00   3.84611e-01   3.35559e+00   1.15378e-01   2.96046e-01   3.41573e-02   2.98010e-01   1.93711e+01   1.67892e+02   1.69006e+02
             3   1.94584e+01   2.20093e+03   5.61999e-03   1.93832e-02   2.25174e-02   9.96591e-02  -4.02793e-02   5.26416e+00   2.00000e+01   3.36356e+00   3.36038e-01   3.38030e+00   9.99056e-02   2.94366e-01   2.94088e-02   2.95832e-01   9.51641e+00   9.52540e+01   9.57282e+01
             4   1.94493e+01   2.41426e+03   9.99998e-03   1.68569e-02   1.83693e-02   8.60095e-02  -4.09734e-02   5.28027e+00   2.00000e+01   3.59172e+00   3.10331e-01   3.60510e+00   8.64017e-02   2.76355e-01   2.38776e-02   2.77385e-01   4.93907e+00   5.71641e+01   5.73770e+01
             5   1.94974e+01   2.53635e+03   1.77800e-02   1.77706e-02   2.01605e-02   7.50802e-02  -4.17047e-02   5.29894e+00   2.00000e+01   3.45212e+00   2.60569e-01   3.46194e+00   7.54811e-02   2.88036e-01   2.17413e-02   2.88856e-01   2.33245e+00   3.09011e+01   3.09890e+01
             6   1.95283e+01   2.60659e+03   3.16200e-02   1.74785e-02   1.88995e-02   1.69642e-01  -4.23910e-02   5.30876e+00   2.00000e+01   3.58033e+00   6.17026e-01   3.63311e+00   1.72338e-01   2.71248e-01   4.67463e-02   2.75246e-01   3.10572e+00   1.80211e+01   1.82868e+01
             7   1.95394e+01   2.64804e+03   5.62299e-02   1.77491e-02   1.76911e-02   2.50670e-01  -4.29439e-02   5.31246e+00   2.00000e+01   3.81815e+00   9.84807e-01   3.94311e+00   2.57928e-01   2.45570e-01   6.33393e-02   2.53607e-01   2.78743e+00   1.08070e+01   1.11607e+01
             8   1.95563e+01   2.72831e+03   9.99999e-02   3.30806e+00   2.97250e+00   3.07712e-01  -4.30892e-02   5.31530e+00   2.00000e+01   4.16796e+00   1.33576e+00   4.37677e+00   3.20484e-01   2.17578e-01   6.97303e-02   2.28479e-01   2.12594e+00   6.63352e+00   6.96586e+00
