         Index            Ts             t             f             F             x         Phase            F0            x0            Tr            E'            E"            E*     tan_delta            D'            D"            D*          Eta'          Eta"          Eta*
           [#]          [°C]           [s]          [Hz]           [N]          [µm]         [rad]           [N]          [µm]          [°C]         [MPa]         [MPa]         [MPa]            []       [1/MPa]       [1/MPa]       [1/MPa]        [MPas]        [MPas]        [MPas]
             0   6.73856e+01   0.00000e+00   9.99999e-02   1.84130e+00   2.30130e+00   1.11200e-01   4.96569e+00   1.47326e+02   7.00000e+01   1.61190e+03   1.96535e+02   1.62384e+03   1.21928e-01   6.11298e-04   7.45340e-05   6.15825e-04   3.12796e+02   2.56542e+03   2.58442e+03
             1   6.72849e+01   7.19688e+01   1.12200e-01   1.87282e+00   2.30593e+00   1.05334e-01   4.96175e+00   1.47750e+02   7.00000e+01   1.63977e+03   1.89556e+02   1.65069e+03   1.15599e-01   6.01799e-04   6.95673e-05   6.05807e-04   2.68884e+02   2.32601e+03   2.34150e+03
             2   6.72490e+01   9.45029e+01   1.25890e-01   1.90623e+00   2.31982e+00   1.00141e-01   4.96212e+00   1.48007e+02   7.00000e+01   1.66198e+03   1.82773e+02   1.67200e+03   1.09973e-01   5.94503e-04   6.53795e-05   5.98088e-04   2.31069e+02   2.10114e+03   2.11380e+03
             3   6.72133e+01   1.16496e+02   1.41250e-01   1.91106e+00   2.30405e+00   9.60497e-02   4.96187e+00   1.48182e+02   7.00000e+01   1.67994e+03   1.77299e+02   1.68927e+03   1.05539e-01   5.88702e-04   6.21309e-05   5.91971e-04   1.99774e+02   1.89289e+03   1.90341e+03
             4   6.71787e+01   1.36073e+02   1.58480e-01   1.92878e+00   2.30583e+00   9.21925e-02   4.96141e+00   1.48327e+02   7.00000e+01   1.69638e+03   1.71929e+02   1.70507e+03   1.01351e-01   5.83498e-04   5.91380e-05   5.86488e-04   1.72662e+02   1.70360e+03   1.71233e+03
             5   6.71492e+01   1.53527e+02   1.77820e-01   1.94413e+00   2.30239e+00   8.83596e-02   4.96084e+00   1.48485e+02   7.00000e+01   1.71474e+03   1.66665e+02   1.72282e+03   9.71953e-02   5.77720e-04   5.61516e-05   5.80442e-04   1.49171e+02   1.53476e+03   1.54199e+03
             6   6.71233e+01   1.69369e+02   1.99520e-01   1.95822e+00   2.30102e+00   8.54769e-02   4.96053e+00   1.48616e+02   7.00000e+01   1.73008e+03   1.62753e+02   1.73772e+03   9.40728e-02   5.72939e-04   5.38979e-05   5.75468e-04   1.29827e+02   1.38007e+03   1.38616e+03
             7   6.71032e+01   1.83723e+02   2.23870e-01   1.97449e+00   2.30325e+00   8.27769e-02   4.96036e+00   1.48723e+02   7.00000e+01   1.74453e+03   1.59004e+02   1.75176e+03   9.11445e-02   5.68498e-04   5.18155e-05   5.70855e-04   1.13040e+02   1.24023e+03   1.24537e+03
             8   6.70840e+01   1.96604e+02   2.51180e-01   1.98644e+00   2.30134e+00   8.01496e-02   4.95989e+00   1.48817e+02   7.00000e+01   1.75823e+03   1.55233e+02   1.76507e+03   8.82895e-02   5.64355e-04   4.98266e-05   5.66550e-04   9.83604e+01   1.11407e+03   1.11840e+03
             9   6.70670e+01   2.08157e+02   2.81830e-01   1.99848e+00   2.30030e+00   7.76588e-02   4.95932e+00   1.48902e+02   7.00000e+01   1.77128e+03   1.51585e+02   1.77775e+03   8.55794e-02   5.60460e-04   4.79638e-05   5.62508e-04   8.56031e+01   1.00028e+03   1.00393e+03
            10   6.70544e+01   2.18558e+02   3.16220e-01   2.01173e+00   2.30131e+00   7.52345e-02   4.95881e+00   1.48981e+02   7.00000e+01   1.78379e+03   1.47942e+02   1.78991e+03   8.29371e-02   5.56776e-04   4.61774e-05   5.58687e-04   7.44599e+01   8.97788e+02   9.00871e+02
            11   6.70387e+01   2.29991e+02   3.54809e-01   2.02364e+00   2.30117e+00   7.29592e-02   4.95832e+00   1.49056e+02   7.00000e+01   1.79593e+03   1.44491e+02   1.80173e+03   8.04549e-02   5.53234e-04   4.45104e-05   5.55022e-04   6.48136e+01   8.05589e+02   8.08192e+02
            12   6.70232e+01   2.40959e+02   3.98099e-01   2.03317e+00   2.29874e+00   7.08016e-02   4.95786e+00   1.49129e+02   7.00000e+01   1.80772e+03   1.41180e+02   1.81323e+03   7.80984e-02   5.49828e-04   4.29407e-05   5.51502e-04   5.64420e+01   7.22705e+02   7.24905e+02
            13   6.70115e+01   2.50807e+02   4.46679e-01   2.04645e+00   2.30094e+00   6.87843e-02   4.95743e+00   1.49200e+02   7.00000e+01   1.81916e+03   1.38061e+02   1.82440e+03   7.58925e-02   5.46555e-04   4.14794e-05   5.48127e-04   4.91921e+01   6.48181e+02   6.50045e+02
            14   6.69971e+01   2.63322e+02   5.01179e-01   2.05770e+00   2.30121e+00   6.68629e-02   4.95701e+00   1.49269e+02   7.00000e+01   1.83027e+03   1.35053e+02   1.83525e+03   7.37883e-02   5.43408e-04   4.00971e-05   5.44885e-04   4.28875e+01   5.81223e+02   5.82803e+02
            15   6.69820e+01   2.76508e+02   5.62339e-01   2.07040e+00   2.30344e+00   6.50098e-02   4.95660e+00   1.49337e+02   7.00000e+01   1.84108e+03   1.32107e+02   1.84581e+03   7.17552e-02   5.40377e-04   3.87749e-05   5.41767e-04   3.73893e+01   5.21068e+02   5.22407e+02
            16   6.69664e+01   2.88327e+02   6.30949e-01   2.07932e+00   2.30175e+00   6.32287e-02   4.95623e+00   1.49399e+02   7.00000e+01   1.85162e+03   1.29237e+02   1.85612e+03   6.97970e-02   5.37451e-04   3.75125e-05   5.38758e-04   3.25997e+01   4.67064e+02   4.68201e+02
            17   6.69552e+01   2.98940e+02   7.07939e-01   2.08660e+00   2.29858e+00   6.15294e-02   4.95595e+00   1.49449e+02   7.00000e+01   1.86188e+03   1.26468e+02   1.86617e+03   6.79248e-02   5.34626e-04   3.63144e-05   5.35858e-04   2.84318e+01   4.18577e+02   4.19541e+02
            18   6.69434e+01   3.09727e+02   7.94319e-01   2.10070e+00   2.30323e+00   5.99351e-02   4.95571e+00   1.49492e+02   7.00000e+01   1.87186e+03   1.23850e+02   1.87595e+03   6.61642e-02   5.31900e-04   3.51928e-05   5.33063e-04   2.48154e+01   3.75057e+02   3.75878e+02
            19   6.69320e+01   3.20257e+02   8.91249e-01   2.10575e+00   2.29825e+00   5.84515e-02   4.95549e+00   1.49533e+02   7.00000e+01   1.88155e+03   1.21399e+02   1.88546e+03   6.45212e-02   5.29275e-04   3.41494e-05   5.30375e-04   2.16789e+01   3.35997e+02   3.36696e+02
            20   6.69214e+01   3.29074e+02   9.99999e-01   2.05191e+00   2.22966e+00   5.70721e-02   4.95529e+00   1.49572e+02   7.00000e+01   1.89094e+03   1.19107e+02   1.89469e+03   6.29885e-02   5.26748e-04   3.31790e-05   5.27792e-04   1.89565e+01   3.00953e+02   3.01549e+02
            21   6.69089e+01   3.40345e+02   1.12202e+00   2.12762e+00   2.30212e+00   5.57886e-02   4.95510e+00   1.49609e+02   7.00000e+01   1.90004e+03   1.16960e+02   1.90364e+03   6.15564e-02   5.24317e-04   3.22751e-05   5.25310e-04   1.65904e+01   2.69515e+02   2.70025e+02
            22   6.68997e+01   3.49729e+02   1.25892e+00   2.13217e+00   2.29757e+00   5.45614e-02   4.95492e+00   1.49645e+02   7.00000e+01   1.90890e+03   1.14879e+02   1.91235e+03   6.01810e-02   5.21972e-04   3.14128e-05   5.22917e-04   1.45233e+01   2.41327e+02   2.41763e+02
            23   6.68876e+01   3.58937e+02   1.41253e+00   2.14425e+00   2.30137e+00   5.34091e-02   4.95475e+00   1.49679e+02   7.00000e+01   1.91754e+03   1.12909e+02   1.92086e+03   5.88825e-02   5.19701e-04   3.06013e-05   5.20601e-04   1.27219e+01   2.16056e+02   2.16430e+02
            24   6.68830e+01   3.67836e+02   1.58489e+00   2.15297e+00   2.30175e+00   5.22806e-02   4.95458e+00   1.49713e+02   7.00000e+01   1.92599e+03   1.10944e+02   1.92919e+03   5.76037e-02   5.17495e-04   2.98097e-05   5.18353e-04   1.11411e+01   1.93409e+02   1.93730e+02
            25   6.68719e+01   3.76406e+02   1.77828e+00   2.16086e+00   2.30142e+00   5.12021e-02   4.95440e+00   1.49749e+02   7.00000e+01   1.93428e+03   1.09041e+02   1.93735e+03   5.63732e-02   5.15351e-04   2.90520e-05   5.16170e-04   9.75914e+00   1.73117e+02   1.73392e+02
            26   6.68653e+01   3.84998e+02   1.99526e+00   2.16887e+00   2.30140e+00   5.01522e-02   4.95414e+00   1.49797e+02   7.00000e+01   1.94240e+03   1.07155e+02   1.94535e+03   5.51665e-02   5.13265e-04   2.83151e-05   5.14046e-04   8.54743e+00   1.54939e+02   1.55174e+02
            27   6.68568e+01   3.93736e+02   2.23872e+00   2.17729e+00   2.30199e+00   4.91711e-02   4.95385e+00   1.49849e+02   7.00000e+01   1.95034e+03   1.05372e+02   1.95319e+03   5.40277e-02   5.11238e-04   2.76210e-05   5.11984e-04   7.49115e+00   1.38654e+02   1.38856e+02
            28   6.68507e+01   4.02000e+02   2.51189e+00   2.18604e+00   2.30315e+00   4.82452e-02   4.95356e+00   1.49901e+02   7.00000e+01   1.95807e+03   1.03662e+02   1.96082e+03   5.29406e-02   5.09279e-04   2.69615e-05   5.09992e-04   6.56807e+00   1.24065e+02   1.24239e+02
            29   6.68445e+01   4.10146e+02   2.81838e+00   2.19108e+00   2.30069e+00   4.73944e-02   4.95326e+00   1.49953e+02   7.00000e+01   1.96555e+03   1.02064e+02   1.96820e+03   5.19263e-02   5.07396e-04   2.63472e-05   5.08079e-04   5.76359e+00   1.10995e+02   1.11145e+02
            30   6.68398e+01   4.18346e+02   3.16228e+00   2.19933e+00   2.30184e+00   4.66118e-02   4.95297e+00   1.50004e+02   7.00000e+01   1.97277e+03   1.00565e+02   1.97533e+03   5.09763e-02   5.05587e-04   2.57730e-05   5.06244e-04   5.06134e+00   9.92881e+01   9.94170e+01
            31   6.68353e+01   4.26373e+02   3.54812e+00   2.20589e+00   2.30146e+00   4.58856e-02   4.95267e+00   1.50055e+02   7.00000e+01   1.97977e+03   9.91395e+01   1.98225e+03   5.00762e-02   5.03845e-04   2.52306e-05   5.04476e-04   4.44701e+00   8.88049e+01   8.89161e+01
            32   6.68301e+01   4.34101e+02   3.98106e+00   2.21331e+00   2.30215e+00   4.52094e-02   4.95237e+00   1.50107e+02   7.00000e+01   1.98661e+03   9.77764e+01   1.98902e+03   4.92176e-02   5.02152e-04   2.47147e-05   5.02760e-04   3.90890e+00   7.94209e+01   7.95170e+01
            33   6.68270e+01   4.41894e+02   4.46683e+00   2.21871e+00   2.30087e+00   4.45720e-02   4.95208e+00   1.50157e+02   7.00000e+01   1.99333e+03   9.64499e+01   1.99566e+03   4.83864e-02   5.00502e-04   2.42175e-05   5.01088e-04   3.43655e+00   7.10229e+01   7.11060e+01
            34   6.68219e+01   4.50407e+02   5.01186e+00   2.22636e+00   2.30205e+00   4.39823e-02   4.95180e+00   1.50205e+02   7.00000e+01   1.99992e+03   9.51787e+01   2.00219e+03   4.75911e-02   4.98889e-04   2.37427e-05   4.99454e-04   3.02246e+00   6.35089e+01   6.35808e+01
            35   6.68182e+01   4.58193e+02   5.62341e+00   2.22998e+00   2.29916e+00   4.34148e-02   4.95149e+00   1.50257e+02   7.00000e+01   2.00642e+03   9.39024e+01   2.00862e+03   4.68010e-02   4.97311e-04   2.32746e-05   4.97855e-04   2.65764e+00   5.67861e+01   5.68483e+01
            36   6.68148e+01   4.65861e+02   6.30957e+00   2.23928e+00   2.30222e+00   4.29001e-02   4.95109e+00   1.50323e+02   7.00000e+01   2.01284e+03   9.26875e+01   2.01497e+03   4.60482e-02   4.95760e-04   2.28289e-05   4.96286e-04   2.33798e+00   5.07725e+01   5.08263e+01
            37   6.68094e+01   4.73441e+02   7.07945e+00   2.24082e+00   2.29733e+00   4.23781e-02   4.95064e+00   1.50396e+02   7.00000e+01   2.01922e+03   9.13964e+01   2.02129e+03   4.52631e-02   4.94227e-04   2.23703e-05   4.94733e-04   2.05471e+00   4.53947e+01   4.54412e+01
            38   6.68044e+01   4.80932e+02   7.94328e+00   2.24608e+00   2.29622e+00   4.19040e-02   4.95019e+00   1.50469e+02   7.00000e+01   2.02566e+03   9.01510e+01   2.02766e+03   4.45046e-02   4.92691e-04   2.19270e-05   4.93179e-04   1.80630e+00   4.05869e+01   4.06271e+01
            39   6.67998e+01   4.88323e+02   8.91251e+00   2.25493e+00   2.29872e+00   4.14508e-02   4.94975e+00   1.50542e+02   7.00000e+01   2.03216e+03   8.88855e+01   2.03410e+03   4.37395e-02   4.91148e-04   2.14825e-05   4.91617e-04   1.58727e+00   3.62892e+01   3.63239e+01
            40   6.67952e+01   4.95690e+02   1.00000e+01   2.26449e+00   2.30186e+00   4.11011e-02   4.94932e+00   1.50614e+02   7.00000e+01   2.03871e+03   8.77794e+01   2.04060e+03   4.30563e-02   4.89598e-04   2.10803e-05   4.90052e-04   1.39705e+00   3.24471e+01   3.24772e+01
